title,Exclude,url,tags,date
A black hole and a neutron star walk into a gravitationally bound system…,,https://astrobites.org/2011/07/25/a-black-hole-and-a-neutron-star-walk-into-a-gravitationally-bound-system/,"black holes, Cygnus X-1, supernovae, theory",2011-07-25
A day in the lives of astronomy grad students,,https://astrobites.org/2011/07/11/a-day-in-the-lives-of-astronomy-grad-students/,"a day in the life, astronomy, Graduate school",2011-07-11
Guest posts at Physics Today and GradHacker,1,https://astrobites.org/2011/07/03/guest-posts-at-physics-today-and-gradhacker/,,2011-07-03
A new GRB-Supernova,,https://astrobites.org/2011/06/27/a-new-grb-supernova/,"GRB, SN 1998bw, SN 2006aj, SN 2009nz, spectroscopy, supernova",2011-06-27
What makes more stars: bars or mergers?,,https://astrobites.org/2011/06/13/5503/,"bars, galaxy evolution, metallicity, SFR, star formation",2011-06-13
Using the Moon as a scientific instrument,,https://astrobites.org/2011/05/30/using-the-moon-as-a-scientific-instrument/,"binary stars, diffraction, Moon, observations",2011-05-30
Visit Astrobites at AAS 218 in Boston,1,https://astrobites.org/2011/05/22/visit-astrobites-at-aas-219-in-boston/,"AAS, Conference, Poster, Talk",2011-05-22
BOSS’s 3D map of the early universe,,https://astrobites.org/2011/05/02/bosss-3d-map-of-the-early-universe/,"cosmology, Lyman-alpha, reionization, SDSS, spectroscopy",2011-05-02
Live near Boston?  Don’t miss the Cambridge Science Festival!,,https://astrobites.org/2011/04/30/live-near-boston-dont-miss-the-cambridge-science-festival/,"black holes, Cambridge, outreach",2011-04-30
What lives far outside the Small Magellanic Cloud?,,https://astrobites.org/2011/04/18/what-lives-far-outside-the-small-magellanic-cloud/,"galaxy evolution, LMC, Magellenic Clouds, SMC, stars",2011-04-18
All about bulges (and consequences for galaxy evolution),,https://astrobites.org/2011/04/04/all-about-bulges-and-consequences-for-galaxy-evolution/,"bulges, galaxies, galaxy evolution, galaxy mergers, pseudobulges",2011-04-04
Do galaxies line up?,,https://astrobites.org/2011/03/21/do-galaxies-line-up/,"alignment, BCGs, galaxies, observations, SDSS, statistics",2011-03-21
How to use SAO ds9 to examine astronomical images,,https://astrobites.org/2011/03/09/how-to-use-sao-ds9-to-examine-astronomical-images/,"ds9, howto, sao, software",2011-03-09
Please take Astrobites’ March Reader Survey,1,https://astrobites.org/2011/02/27/please-take-astrobites-march-reader-survey/,survey,2011-02-27
Everything you wanted to know about galaxies and AGN,,https://astrobites.org/2011/02/26/everything-you-wanted-to-know-about-galaxies-and-agn/,"AGN, galaxies, Glossaries, ULIRGs",2011-02-26
Do stars throw snowballs?,,https://astrobites.org/2011/02/22/do-stars-throw-snowballs/,"asteroids, comets, hydrogen, interstellar medium, Oort cloud, oxygen, white dwarfs",2011-02-22
Our new sister site: Chembites,1,https://astrobites.org/2011/02/21/our-new-sister-site-chembites/,chemistry,2011-02-21
The Faintest Hint of an Exploding Star,,https://astrobites.org/2011/02/16/the-faintest-hint-of-an-exploding-star/,"cosmology, PCA, SDSS, spectroscopy, statistics, supernovae, survey",2011-02-16
Avi Loeb and Freeman Dyson on the future of the universe,,https://astrobites.org/2011/02/03/avi-loeb-and-freeman-dyson-on-the-future-of-the-universe/,"Avi Loeb, cosmic engineering, Freeman Dyson, the distant future, the future of the universe",2011-02-03
Astronomical methods for the year 1 trillion,,https://astrobites.org/2011/02/02/astronomical-methods-for-the-year-1-trillion/,"astronomical methods, cosmology, hypervelocity stars, Milkomeda, the distant future",2011-02-02
Simulating a star at the brink of explosion,,https://astrobites.org/2011/02/01/simulating-a-star-at-the-brink-of-explosion/,"massive stars, simulations, stellar evolution, supernova progenitors, supernovae",2011-02-01
Take our reader survey; help us make Astrobites better!,,https://astrobites.org/2011/01/29/take-our-reader-survey-help-us-make-astrobites-better/,survey,2011-01-29
American Astronomical Society January/February Newsletter,1,https://astrobites.org/2011/01/26/american-astronomical-society-januaryfebruary-newsletter/,"AAS, JWST, WFIRST",2011-01-26
How does chemical composition affect star formation?,,https://astrobites.org/2011/01/18/how-does-chemical-composition-affect-star-formation/,"chemical composition, interstellar medium, ISM, metallicity, simulations, star formation",2011-01-18
Supernova article at Science in the News,1,https://astrobites.org/2011/01/16/supernova-article-at-science-in-the-news/,,2011-01-16
Stellar variability and exoplanet detection,,https://astrobites.org/2011/01/14/stellar-variability-and-exoplanet-detection/,"astrometry, Earth, exoplanets, Kepler, plages, radial velocity, stars, stellar activity, stellar variability, Sun, sunspots, transits",2011-01-14
Are star clusters simple or not?,,https://astrobites.org/2011/01/12/are-star-clusters-simple-or-not/,"observations, simulations, star clusters, stellar populations",2011-01-12
Finding needles in the cosmological haystack with the SZ effect,,https://astrobites.org/2011/01/07/finding-needles-in-the-cosmological-haystack-with-the-sz-effect/,"cosmology, early universe, galaxies, galaxy clusters, galaxy evolution, SZ effect",2011-01-07
Nature vs. nurture in the evolution of elliptical galaxies,,https://astrobites.org/2011/01/04/nature-vs-nurture-in-the-evolution-of-elliptical-galaxies/,"galaxies, galaxy clusters, galaxy evolution",2011-01-04
How to simulate a fluid,,https://astrobites.org/2010/12/11/how-to-simulate-a-fluid/,,2010-12-11
What happens in the vast voids between stars in galaxies like the Milky Way?,,https://astrobites.org/2010/11/30/formation-of-cold-filamentary-structure-from-wind-blown-superbubbles/,"interstellar medium, simulations, star-formation",2010-11-30
